"Time","opctyngppri01 : Actives"
2022-06-14 02:00:00,1774
2022-06-14 05:00:00,907
2022-06-14 08:00:00,1898
2022-06-14 11:00:00,3938
2022-06-14 14:00:00,3586
2022-06-14 17:00:00,3303
2022-06-14 20:00:00,1025
2022-06-14 23:00:00,786
2022-06-15 02:00:00,3076
2022-06-15 05:00:00,1537
2022-06-15 08:00:00,1792
2022-06-15 11:00:00,3962
2022-06-15 14:00:00,3289
2022-06-15 17:00:00,2901
2022-06-15 20:00:00,984
2022-06-15 23:00:00,715
2022-06-16 02:00:00,1729
2022-06-16 05:00:00,737
2022-06-16 08:00:00,1786
2022-06-16 11:00:00,4124
2022-06-16 14:00:00,3611
2022-06-16 17:00:00,3044
2022-06-16 20:00:00,1020
2022-06-16 23:00:00,729
2022-06-17 02:00:00,1685
2022-06-17 05:00:00,960
2022-06-17 08:00:00,1747
2022-06-17 11:00:00,3575
2022-06-17 14:00:00,2781
2022-06-17 17:00:00,2300
2022-06-17 20:00:00,869
2022-06-17 23:00:00,717
2022-06-18 02:00:00,1701
2022-06-18 05:00:00,913
2022-06-18 08:00:00,597
2022-06-18 11:00:00,979
2022-06-18 14:00:00,714
2022-06-18 17:00:00,704
2022-06-18 20:00:00,589
2022-06-18 23:00:00,665
2022-06-19 02:00:00,1660
2022-06-19 05:00:00,878
2022-06-19 08:00:00,377
2022-06-19 11:00:00,494
2022-06-19 14:00:00,444
2022-06-19 17:00:00,481
2022-06-19 20:00:00,534
2022-06-19 23:00:00,645
2022-06-20 02:00:00,1632
2022-06-20 05:00:00,837
2022-06-20 08:00:00,1767
2022-06-20 11:00:00,3080
2022-06-20 14:00:00,2720
2022-06-20 17:00:00,2835
2022-06-20 20:00:00,891
2022-06-20 23:00:00,688
2022-06-21 02:00:00,1639
2022-06-21 05:00:00,820
2022-06-21 08:00:00,1829
2022-06-21 11:00:00,3806
2022-06-21 14:00:00,3374
2022-06-21 17:00:00,2978
2022-06-21 20:00:00,1048
2022-06-21 23:00:00,780
2022-06-22 02:00:00,1728
